,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg
,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis
itemID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73034,1798.0,1255.0,5272.0,2933.0,6035830.0,3356.97,560076.76,748.38,-0.05,-0.045,1798.0,1599.0,5595.0,4054.0,6380452.0,3548.64,561756.8,749.5,0.051,-0.205,1798.0,8284.0,74929.0,32824.0,67964687.0,37800.16,153055866.36,12371.57,0.526,0.166,1798.0,10490.0,85720.0,61239.0,77247210.0,42962.85,251208215.96,15849.55,0.443,-0.491
73248,1798.0,2105.0,4441.0,2703.0,5580108.0,3103.51,218924.11,467.89,0.749,-0.353,1798.0,2240.0,4755.0,3221.0,6137616.0,3413.58,273753.79,523.21,0.581,-0.649,1798.0,11510.0,163418.0,41837.0,118511766.0,65913.11,472583380.58,21738.98,0.431,0.202,1798.0,19562.0,250452.0,43868.0,157246954.0,87456.59,2338671105.4,48359.81,1.287,0.966
89140,1644.0,10.0,122.0,10.0,86464.0,52.59,1620.23,40.25,0.081,-1.728,1798.0,10.0,136.0,11.0,91594.0,50.94,1701.38,41.25,0.244,-1.687,1644.0,32.0,3317423.0,1983.0,1539740750.0,936581.96,617505180644.35,785814.98,0.41,-0.66,1798.0,170549.0,15428445.0,170549.0,10291880285.0,5724071.35,26213262157104.24,5119888.88,0.384,-1.498
89271,1798.0,72.0,1248.0,100.0,900944.0,501.08,168926.97,411.01,0.237,-1.7,1798.0,91.0,1454.0,108.0,953519.0,530.32,185814.85,431.06,0.235,-1.685,1798.0,19531.0,439597.0,65226.0,391276634.0,217617.71,16848919039.6,129803.39,-0.179,-1.638,1798.0,11285.0,1815479.0,26949.0,1375585017.0,765063.97,399144439386.88,631778.79,0.023,-1.886
95814,1615.0,781947.0,4004659.0,1350000.0,2167554221.0,1342138.84,45678979389.03,213726.41,2.336,24.188,1613.0,1160026.0,29990000.0,1700000.0,2785611052.0,1726975.23,1151628645919.01,1073139.62,23.236,597.811,1615.0,5.0,32.0,19.0,30004.0,18.58,19.91,4.46,-0.31,0.025,1613.0,1.0,50.0,31.0,43604.0,27.03,94.18,9.7,-0.367,-0.572
95834,1615.0,50010.0,3794048.0,1500000.0,2158379934.0,1336458.16,42092862922.45,205165.45,1.281,15.706,1611.0,1200001.0,9990000.0,1800000.0,2738867214.0,1700103.8,187497036127.14,433009.28,11.177,186.883,1615.0,4.0,40.0,23.0,36255.0,22.45,29.72,5.45,-0.127,0.554,1611.0,1.0,43.0,24.0,34288.0,21.28,61.58,7.85,0.096,-0.232
95920,1615.0,121212.0,3750000.0,1350001.0,2157606170.0,1335979.05,47012343722.72,216823.3,1.04,9.905,1611.0,1249996.0,13391384.0,1400000.0,2713064059.0,1684086.94,195335675940.41,441967.96,14.989,344.8,1615.0,6.0,6086.0,17.0,57970.0,35.89,113626.0,337.08,17.885,317.921,1611.0,1.0,70.0,21.0,45425.0,28.2,145.95,12.08,0.456,-0.074
95967,1615.0,657709.0,4000116.0,1500000.0,2174399931.0,1346377.67,51821219039.53,227642.74,2.663,24.21,1614.0,1197642.0,19990000.0,1799999.0,2728640800.0,1690607.68,413765437696.9,643246.02,19.237,473.906,1615.0,3.0,2542.0,26.0,65697.0,40.68,37498.1,193.64,12.538,156.651,1614.0,1.0,55.0,28.0,39817.0,24.67,88.57,9.41,0.178,-0.267
95994,1615.0,711017.0,3829283.0,1550000.0,2177633325.0,1348379.77,51969001520.1,227967.11,2.685,22.463,1613.0,1160000.0,6899997.0,1599999.0,2698372286.0,1672890.44,102855668155.57,320711.19,7.029,90.04,1615.0,4.0,42.0,23.0,35629.0,22.06,26.59,5.16,-0.006,0.243,1613.0,2.0,44.0,25.0,36674.0,22.74,45.68,6.76,-0.22,0.178
96193,1615.0,488898.0,2500267.0,1550001.0,2122615485.0,1314312.99,36828441615.22,191907.38,0.3,1.284,1610.0,1200000.0,11999999.0,1799999.0,2727891735.0,1694342.69,187316917326.74,432801.24,12.734,248.053,1615.0,5.0,28.0,17.0,24356.0,15.08,16.16,4.02,0.367,-0.002,1610.0,1.0,45.0,22.0,35752.0,22.21,95.88,9.79,0.008,-0.888
96303,1614.0,326671.0,2313260.0,1400000.0,2100707271.0,1301553.45,44197649241.74,210232.37,0.409,1.399,1607.0,1195726.0,6900000.0,1750000.0,2708528899.0,1685456.69,83990595926.27,289811.31,5.322,73.719,1614.0,2.0,528.0,275.0,459175.0,284.5,2818.62,53.09,2.928,17.42,1607.0,1.0,52.0,30.0,40999.0,25.51,109.96,10.49,-0.12,-0.607
96330,1613.0,560720.0,2200722.0,1400000.0,2145931356.0,1330397.62,36862508549.54,191996.12,0.234,-0.246,1606.0,1199999.0,7000034.0,1650000.0,2707254101.0,1685712.39,76598854362.21,276764.98,5.831,90.877,1613.0,2.0,69.0,20.0,32523.0,20.16,28.41,5.33,0.17,5.407,1606.0,1.0,28.0,15.0,22374.0,13.93,42.25,6.5,0.007,-1.032
96357,1615.0,600003.0,5000000.0,1200002.0,2122312839.0,1314125.6,57296058788.42,239365.95,3.999,47.536,1614.0,1117839.0,29990000.0,1699999.0,2691212222.0,1667417.73,618761154074.94,786613.73,29.63,1043.865,1615.0,12.0,70.0,34.0,53457.0,33.1,40.6,6.37,0.259,0.447,1614.0,1.0,48.0,34.0,44191.0,27.38,84.2,9.18,-0.24,-0.701
96827,1614.0,50353.0,3768841.0,1400000.0,2136995686.0,1324036.98,40394164879.4,200983.0,1.207,14.976,1606.0,1231521.0,4676869.0,1699999.0,2704659516.0,1684096.83,59011215731.4,242922.24,2.332,18.258,1614.0,3.0,38.0,22.0,35149.0,21.78,34.8,5.9,-0.187,-0.165,1606.0,1.0,39.0,18.0,31809.0,19.81,75.8,8.71,0.028,-0.91
96915,1614.0,268027.0,4083333.0,1500000.0,2182276234.0,1352091.84,42031663641.68,205016.25,1.962,22.853,1609.0,1239996.0,10424524.0,1800000.0,2740336900.0,1703130.45,148414216298.89,385245.66,11.811,221.213,1614.0,4.0,2026.0,19.0,42755.0,26.49,14915.8,122.13,16.243,262.55,1609.0,2.0,43.0,21.0,36184.0,22.49,59.62,7.72,0.021,-0.384
96925,1611.0,40002.0,2420129.0,1500000.0,2104999810.0,1306641.72,38618300015.03,196515.39,0.021,0.964,1606.0,1100000.0,5001001.0,1649996.0,2710251511.0,1687578.77,105166454277.79,324293.78,5.213,46.938,1611.0,1.0,3521.0,16.0,63815.0,39.61,72913.19,270.02,12.55,156.771,1606.0,1.0,46.0,22.0,30948.0,19.27,66.42,8.15,-0.082,-0.015
97267,1614.0,81772.0,2010613.0,1550000.0,2154095282.0,1334631.53,39395192129.08,198482.22,0.032,0.562,1613.0,1190098.0,29990000.0,1800000.0,2818943107.0,1747639.87,843361550339.16,918347.18,22.227,607.065,1614.0,6.0,37.0,17.0,28638.0,17.74,20.43,4.52,0.873,1.187,1613.0,1.0,36.0,15.0,26142.0,16.21,40.02,6.33,0.107,-0.186
97449,1615.0,800104.0,5000000.0,1300000.0,2140747957.0,1325540.53,56426602321.19,237542.84,4.041,49.957,1613.0,1142856.0,19900099.0,1699999.0,2692556338.0,1669284.77,343237384890.92,585864.65,21.323,609.463,1615.0,3.0,39.0,26.0,38801.0,24.03,34.38,5.86,-0.608,0.58,1613.0,1.0,41.0,22.0,33618.0,20.84,44.75,6.69,-0.032,0.099
97513,1615.0,182707.0,3650000.0,1500000.0,2081763059.0,1289017.37,41202672278.86,202984.41,0.943,11.592,1605.0,1071429.0,7990000.0,1699999.0,2705149293.0,1685451.27,147648107974.4,384250.06,9.645,137.531,1615.0,3.0,33.0,16.0,25517.0,15.8,18.29,4.28,0.374,0.768,1605.0,1.0,53.0,38.0,46113.0,28.73,154.14,12.42,-0.134,-0.934
97691,1614.0,595060.0,3790104.0,1500000.0,2107741005.0,1305911.4,47313488139.25,217516.64,2.068,20.424,1608.0,1140220.0,13990000.0,1600000.0,2717180649.0,1689788.96,287682007781.85,536359.96,14.184,263.217,1614.0,2.0,263.0,18.0,31233.0,19.35,1047.3,32.36,7.067,49.148,1608.0,1.0,37.0,19.0,26264.0,16.33,47.32,6.88,-0.007,-0.528
103973,644.0,1000006.0,3909998.0,3500001.0,1955036470.0,3035770.92,140241007476.21,374487.66,-0.584,0.46,643.0,2853463.0,8248218.0,3999999.0,2394921034.0,3724605.03,258108635443.73,508043.93,1.574,13.475,644.0,8.0,8570.0,25.0,43915.0,68.19,117508.2,342.79,23.762,586.361,643.0,3.0,36.0,17.0,11990.0,18.65,66.41,8.15,0.193,-0.81
