,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,buy_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,sell_price_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,buy_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg,sell_quantity_avg
,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis,conteo,min,max,moda,sumatoria,media,varianza,desv_estandar,asimetria,kurtosis
itemID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24283,1798.0,977.0,3696.0,1262.0,3451762.0,1919.78,348402.41,590.26,0.478,-0.509,1798.0,1092.0,3998.0,1577.0,3761987.0,2092.32,422838.18,650.26,0.365,-0.684,1798.0,15605.0,76878.0,26154.0,81836225.0,45515.14,160973801.74,12687.55,0.187,-0.675,1798.0,20880.0,271428.0,53959.0,256967843.0,142918.71,4096619763.33,64004.84,0.464,-0.942
24284,1798.0,4.0,9.0,4.0,7871.0,4.38,0.35,0.59,1.863,6.133,1798.0,5.0,17.0,5.0,11869.0,6.6,2.23,1.49,1.231,2.943,1798.0,12654.0,237221.0,12695.0,34925911.0,19424.87,341816769.34,18488.29,4.064,21.306,1798.0,685854.0,2455251.0,1143664.0,2567195127.0,1427805.97,305133795466.2,552389.17,0.709,-1.034
24285,1798.0,6.0,137.0,61.0,107482.0,59.78,556.01,23.58,0.586,0.126,1798.0,10.0,178.0,72.0,138892.0,77.25,723.6,26.9,0.459,0.196,1798.0,11636.0,188066.0,33151.0,130542464.0,72604.26,981961150.17,31336.26,1.098,1.406,1798.0,37247.0,265338.0,50577.0,148896472.0,82812.28,830011015.49,28809.91,2.233,8.679
24286,1798.0,170.0,956.0,424.0,859250.0,477.89,21827.4,147.74,0.527,-0.235,1798.0,208.0,997.0,329.0,990156.0,550.7,25642.62,160.13,0.312,-0.623,1798.0,41953.0,98737.0,45296.0,110601780.0,61513.78,170186006.49,13045.54,0.7,-0.433,1798.0,22111.0,248598.0,61076.0,204249297.0,113598.05,1860253652.81,43130.66,0.316,-0.187
24287,1798.0,199.0,822.0,341.0,688118.0,382.71,12058.15,109.81,1.003,0.942,1798.0,235.0,879.0,284.0,778230.0,432.83,13643.53,116.81,0.753,0.176,1798.0,12430.0,41271.0,21685.0,41538356.0,23102.53,22980777.53,4793.83,0.535,-0.026,1798.0,11095.0,188308.0,38534.0,191708090.0,106622.96,1053089690.95,32451.34,-0.032,-0.402
24288,1798.0,26.0,233.0,62.0,125378.0,69.73,536.14,23.15,1.751,7.133,1798.0,28.0,325.0,68.0,134541.0,74.83,667.84,25.84,2.625,15.058,1798.0,258941.0,1711753.0,697289.0,1764015580.0,981098.77,85349441379.19,292146.27,0.2,-0.72,1798.0,192757.0,2815673.0,660851.0,1887534191.0,1049796.55,262675136342.63,512518.43,1.3,1.596
24289,1798.0,1304.0,3765.0,2299.0,4076414.0,2267.19,139813.55,373.92,1.032,1.194,1798.0,1422.0,3997.0,2364.0,4392040.0,2442.74,181173.04,425.64,0.906,0.808,1798.0,16099.0,91274.0,36525.0,81971907.0,45590.6,121197576.3,11008.98,0.445,0.34,1798.0,15750.0,136165.0,59546.0,138436185.0,76994.54,486207480.78,22050.11,-0.195,-0.283
24290,1798.0,4.0,9.0,4.0,8271.0,4.6,0.66,0.81,1.612,3.133,1798.0,5.0,14.0,6.0,12865.0,7.16,2.26,1.5,0.972,1.568,1798.0,41673.0,312912.0,42533.0,108140279.0,60144.76,1428553423.6,37796.21,2.836,8.953,1798.0,597690.0,3247357.0,1048260.0,2754687568.0,1532084.3,346397113841.09,588555.11,0.72,-0.159
24291,1798.0,7.0,96.0,29.0,62456.0,34.74,221.37,14.88,0.991,1.089,1798.0,9.0,103.0,42.0,90513.0,50.34,346.39,18.61,0.708,0.162,1798.0,21480.0,287460.0,35823.0,167877393.0,93368.96,3346471121.36,57848.69,1.985,3.013,1798.0,75707.0,535306.0,149466.0,346275195.0,192589.1,3596997088.03,59974.97,1.013,3.535
24292,1798.0,134.0,621.0,258.0,589938.0,328.11,7913.7,88.96,0.494,-0.105,1798.0,161.0,693.0,308.0,708062.0,393.81,10333.77,101.66,0.48,-0.354,1798.0,27515.0,77934.0,33246.0,85869193.0,47758.17,103504186.23,10173.7,0.562,-0.491,1798.0,27374.0,231597.0,96121.0,204494912.0,113734.66,1085376333.16,32945.05,0.082,0.587
24293,1798.0,167.0,598.0,320.0,640349.0,356.15,6003.52,77.48,0.471,-0.167,1798.0,238.0,656.0,428.0,742152.0,412.77,7546.75,86.87,0.421,-0.505,1798.0,19078.0,70697.0,28151.0,64731523.0,36001.96,109828256.24,10479.9,0.892,-0.448,1798.0,38697.0,211085.0,61318.0,210639612.0,117152.18,1030287874.77,32098.1,0.079,-0.215
24294,1798.0,48.0,373.0,64.0,220529.0,122.65,4183.02,64.68,1.519,2.25,1798.0,51.0,396.0,69.0,232366.0,129.24,4450.18,66.71,1.508,2.247,1798.0,58158.0,1202892.0,238508.0,604336805.0,336116.13,25551594419.04,159848.66,1.671,4.189,1798.0,132813.0,1891818.0,908611.0,1661032108.0,923822.08,146131986352.74,382272.14,-0.209,-0.349
24295,1798.0,1627.0,5795.0,2506.0,5154785.0,2866.95,673432.34,820.63,1.385,1.56,1798.0,1698.0,5955.0,2489.0,5401460.0,3004.15,721999.52,849.71,1.35,1.5,1798.0,23207.0,102746.0,38303.0,100234011.0,55747.5,148936308.22,12203.95,0.276,0.707,1798.0,22531.0,257058.0,80409.0,277077493.0,154103.17,2118012549.31,46021.87,-0.479,-0.351
24296,1798.0,4.0,6.0,4.0,8079.0,4.49,0.27,0.52,0.241,-1.444,1798.0,5.0,9.0,5.0,11518.0,6.41,1.32,1.15,0.203,-1.116,1798.0,13917.0,138713.0,14023.0,52536221.0,29219.26,706439266.27,26578.93,2.011,3.308,1798.0,3867070.0,8821074.0,8654515.0,12978240352.0,7218153.7,2534239074318.71,1591929.36,-0.516,-1.277
